iter	Passed	Remaining
1276	35752	664171
1277	35777	664095
1278	35801	663993
1279	35826	663910
1280	35850	663798
1281	35874	663704
1282	35898	663611
1283	35922	663507
1284	35946	663409
1285	35970	663294
1286	35991	663141
1287	36014	663017
1288	36035	662859
1289	36058	662752
1290	36083	662676
1291	36105	662530
1292	36127	662395
1293	36151	662293
1294	36173	662154
1295	36202	662151
1296	36225	662036
1297	36252	661981
1298	36277	661904
1299	36301	661802
1300	36323	661673
1301	36347	661569
1302	36376	661556
1303	36401	661478
1304	36421	661307
1305	36446	661222
1306	36470	661122
1307	36492	660999
1308	36518	660928
1309	36540	660795
1310	36564	660706
1311	36586	660568
1312	36609	660445
1313	36632	660329
1314	36654	660199
1315	36676	660070
1316	36699	659954
1317	36724	659875
1318	36749	659788
1319	36772	659674
1320	36797	659604
1321	36826	659595
1322	36849	659477
1323	36874	659389
1324	36895	659254
1325	36927	659300
1326	36959	659334
1327	36983	659246
1328	37010	659203
1329	37033	659087
1330	37060	659044
1331	37083	658920
1332	37107	658836
1333	37137	658835
1334	37159	658705
1335	37181	658573
1336	37203	658448
1337	37227	658353
1338	37251	658254
1339	37274	658145
1340	37297	658027
1341	37320	657923
1342	37342	657791
1343	37365	657682
1344	37388	657566
1345	37408	657396
1346	37427	657226
1347	37448	657071
1348	37472	656981
1349	37497	656892
1350	37518	656747
1351	37544	656697
1352	37568	656597
1353	37592	656514
1354	37618	656457
1355	37648	656453
1356	37676	656442
1357	37704	656417
1358	37726	656278
1359	37750	656195
1360	37776	656135
1361	37803	656087
1362	37830	656043
1363	37856	655998
1364	37880	655908
1365	37906	655846
1366	37930	655759
1367	37960	655763
1368	37996	655869
1369	38026	655881
1370	38051	655815
1371	38078	655772
1372	38108	655775
1373	38136	655759
1374	38162	655698
1375	38191	655691
1376	38220	655686
1377	38249	655685
1378	38301	656067
1379	38327	656013
1380	38354	655968
1381	38379	655890
1382	38405	655833
1383	38435	655847
1384	38466	655875
1385	38494	655855
1386	38518	655757
1387	38550	655810
1388	38577	655769
1389	38603	655698
1390	38630	655660
1391	38672	655870
1392	38698	655817
1393	38723	655743
1394	38751	655712
1395	38781	655732
1396	38806	655659
1397	38833	655612
1398	38861	655593
1399	38892	655614
1400	38918	655550
1401	38942	655473
1402	38967	655390
1403	38989	655260
1404	39014	655190
1405	39043	655185
1406	39069	655125
1407	39092	655029
1408	39116	654934
1409	39145	654927
1410	39174	654921
1411	39197	654803
1412	39220	654709
1413	39247	654666
1414	39273	654610
1415	39300	654568
1416	39329	654555
1417	39357	654537
1418	39386	654518
1419	39411	654447
1420	39439	654436
1421	39470	654454
1422	39499	654450
1423	39530	654480
1424	39559	654459
1425	39585	654408
1426	39609	654320
1427	39636	654280
1428	39662	654225
1429	39691	654212
1430	39717	654160
1431	39743	654094
1432	39769	654050
1433	39800	654073
1434	39832	654106
1435	39859	654078
1436	39893	654150
1437	39925	654185
1438	39956	654206
1439	39988	654263
1440	40022	654337
1441	40067	654576
1442	40105	654716
1443	40138	654772
1444	40161	654672
1445	40186	654606
1446	40211	654528
1447	40236	654449
1448	40266	654458
1449	40310	654690
1450	40343	654748
1451	40373	654755
1452	40400	654729
1453	40428	654696
1454	40454	654638
1455	40480	654576
1456	40503	654471
1457	40525	654357
1458	40546	654217
1459	40568	654099
1460	40588	653948
1461	40610	653823
1462	40633	653712
1463	40654	653588
1464	40680	653518
1465	40710	653527
1466	40737	653500
1467	40764	653455
1468	40805	653631
1469	40829	653547
1470	40853	653460
1471	40875	653340
1472	40899	653257
1473	40924	653181
1474	40949	653114
1475	40970	652979
1476	40991	652831
1477	41012	652696
1478	41031	652541
1479	41054	652428
1480	41078	652348
1481	41102	652255
1482	41121	652093
1483	41141	651950
1484	41161	651792
1485	41183	651679
1486	41204	651548
1487	41225	651412
1488	41250	651336
1489	41277	651292
1490	41300	651191
1491	41320	651050
1492	41341	650910
1493	41361	650762
1494	41381	650621
1495	41404	650521
1496	41425	650379
1497	41445	650233
1498	41466	650107
1499	41487	649969
1500	41510	649865
1501	41530	649725
1502	41555	649651
1503	41575	649504
1504	41596	649381
1505	41616	649226
1506	41637	649092
1507	41657	648958
1508	41677	648809
1509	41697	648662
1510	41718	648530
1511	41737	648373
1512	41756	648213
1513	41777	648079
1514	41799	647958
1515	41819	647818
1516	41841	647708
1517	41861	647556
1518	41881	647408
1519	41903	647299
1520	41923	647153
1521	41944	647022
1522	41964	646886
1523	41986	646768
1524	42007	646635
1525	42028	646506
1526	42048	646362
1527	42069	646235
1528	42094	646169
1529	42122	646157
1530	42144	646036
1531	42165	645910
1532	42185	645767
1533	42206	645646
1534	42227	645513
1535	42247	645376
1536	42270	645271
1537	42289	645127
1538	42310	644998
1539	42331	644869
1540	42354	644774
1541	42375	644650
1542	42397	644538
1543	42416	644376
1544	42435	644228
1545	42456	644097
1546	42476	643963
1547	42495	643800
1548	42515	643661
1549	42538	643561
1550	42557	643404
1551	42578	643282
1552	42599	643159
1553	42622	643070
1554	42647	643004
1555	42670	642908
1556	42691	642790
1557	42712	642658
1558	42738	642618
1559	42762	642534
1560	42783	642403
1561	42807	642329
1562	42830	642232
1563	42851	642117
1564	42879	642097
1565	42900	641966
1566	42920	641832
1567	42943	641743
1568	42964	641619
1569	42986	641504
1570	43007	641396
1571	43027	641255
1572	43048	641130
1573	43069	641012
1574	43094	640940
1575	43118	640871
1576	43146	640852
1577	43168	640738
1578	43192	640658
1579	43213	640546
1580	43236	640448
1581	43261	640389
1582	43285	640307
1583	43311	640268
1584	43334	640178
1585	43363	640169
1586	43388	640107
1587	43418	640119
1588	43449	640152
1589	43479	640160
1590	43504	640105
1591	43532	640075
1592	43561	640081
1593	43585	640006
1594	43609	639931
1595	43633	639854
1596	43658	639782
1597	43680	639678
1598	43703	639583
1599	43724	639477
1600	43745	639352
1601	43766	639231
1602	43787	639113
1603	43808	638994
1604	43829	638877
1605	43856	638836
1606	43883	638814
1607	43905	638705
1608	43930	638650
1609	43954	638575
1610	43974	638440
1611	43995	638310
1612	44015	638181
1613	44034	638033
1614	44053	637883
1615	44073	637760
1616	44094	637645
1617	44115	637520
1618	44138	637425
1619	44158	637295
1620	44177	637152
1621	44199	637047
1622	44217	636895
1623	44241	636809
1624	44261	636687
1625	44281	636549
1626	44302	636430
1627	44326	636363
1628	44347	636248
1629	44369	636146
1630	44391	636036
1631	44409	635885
1632	44432	635796
1633	44455	635702
1634	44474	635560
1635	44492	635411
1636	44518	635355
1637	44539	635250
1638	44558	635101
1639	44578	634974
1640	44598	634849
1641	44619	634726
1642	44640	634617
1643	44661	634499
1644	44681	634373
1645	44703	634273
1646	44723	634142
1647	44743	634013
1648	44767	633933
1649	44788	633821
1650	44809	633718
1651	44830	633598
1652	44852	633492
1653	44873	633388
1654	44895	633282
1655	44917	633179
1656	44937	633050
1657	44957	632933
1658	44978	632823
1659	45000	632712
1660	45021	632601
1661	45043	632506
1662	45064	632390
1663	45085	632276
1664	45107	632175
