iter	Passed	Remaining
743	19874	6838
744	19899	6811
745	19925	6784
746	19952	6757
747	19978	6730
748	20006	6704
749	20031	6677
750	20054	6649
751	20078	6621
752	20104	6594
753	20130	6567
754	20156	6541
755	20183	6514
756	20207	6486
757	20232	6459
758	20259	6432
759	20285	6405
760	20311	6378
761	20338	6352
762	20362	6325
763	20387	6297
764	20412	6270
765	20436	6243
766	20464	6216
767	20492	6190
768	20519	6163
769	20549	6138
770	20576	6111
771	20604	6085
772	20630	6058
773	20654	6030
774	20679	6003
775	20703	5976
776	20730	5949
777	20754	5922
778	20781	5895
779	20808	5869
780	20833	5841
781	20859	5815
782	20887	5788
783	20912	5761
784	20940	5735
785	20970	5709
786	20997	5682
787	21024	5656
788	21049	5629
789	21076	5602
790	21105	5576
791	21129	5549
792	21157	5522
793	21183	5496
794	21207	5468
795	21234	5442
796	21262	5415
797	21287	5388
798	21316	5362
799	21342	5335
800	21370	5309
801	21400	5283
802	21429	5257
803	21452	5229
804	21478	5202
805	21506	5176
806	21531	5149
807	21555	5122
808	21581	5095
809	21605	5068
810	21634	5041
811	21662	5015
812	21688	4988
813	21715	4961
814	21737	4934
815	21765	4907
816	21793	4881
817	21821	4855
818	21847	4828
819	21874	4801
820	21900	4774
821	21928	4748
822	21955	4721
823	21979	4694
824	22002	4667
825	22025	4639
826	22053	4613
827	22080	4586
828	22108	4560
829	22132	4533
830	22160	4506
831	22185	4479
832	22211	4452
833	22235	4425
834	22262	4399
835	22290	4372
836	22314	4345
837	22337	4318
838	22362	4291
839	22388	4264
840	22411	4237
841	22435	4210
842	22462	4183
843	22489	4156
844	22517	4130
845	22545	4103
846	22572	4077
847	22598	4050
848	22622	4023
849	22646	3996
850	22671	3969
851	22698	3942
852	22722	3915
853	22747	3888
854	22769	3861
855	22794	3834
856	22818	3807
857	22846	3781
858	22872	3754
859	22896	3727
860	22920	3700
861	22946	3673
862	22972	3646
863	22999	3620
864	23024	3593
865	23049	3566
866	23074	3539
867	23100	3512
868	23125	3486
869	23151	3459
870	23175	3432
871	23202	3405
872	23227	3378
873	23252	3352
874	23278	3325
875	23306	3299
876	23332	3272
877	23357	3245
878	23384	3219
879	23410	3192
880	23436	3165
881	23464	3139
882	23491	3112
883	23521	3086
884	23548	3059
885	23574	3033
886	23598	3006
887	23624	2979
888	23649	2952
889	23672	2925
890	23696	2898
891	23722	2872
892	23746	2845
893	23769	2818
894	23795	2791
895	23817	2764
896	23843	2737
897	23866	2710
898	23891	2684
899	23917	2657
900	23943	2630
901	23971	2604
902	23998	2577
903	24028	2551
904	24054	2525
905	24076	2498
906	24101	2471
907	24132	2445
908	24157	2418
909	24185	2391
910	24212	2365
911	24239	2338
912	24265	2312
913	24294	2285
914	24322	2259
915	24349	2232
916	24377	2206
917	24404	2179
918	24431	2153
919	24458	2126
920	24482	2100
921	24509	2073
922	24533	2046
923	24562	2020
924	24589	1993
925	24612	1966
926	24641	1940
927	24665	1913
928	24688	1886
929	24712	1860
930	24736	1833
931	24760	1806
932	24785	1779
933	24809	1753
934	24836	1726
935	24863	1700
936	24888	1673
937	24915	1646
938	24939	1620
939	24967	1593
940	24990	1566
941	25014	1540
942	25036	1513
943	25061	1486
944	25088	1460
945	25113	1433
946	25140	1407
947	25166	1380
948	25193	1353
949	25216	1327
950	25244	1300
951	25271	1274
952	25295	1247
953	25320	1220
954	25349	1194
955	25378	1168
956	25407	1141
957	25430	1114
958	25454	1088
959	25479	1061
960	25504	1035
961	25529	1008
962	25559	982
963	25583	955
964	25608	928
965	25633	902
966	25661	875
967	25684	849
968	25708	822
969	25731	795
970	25757	769
971	25783	742
972	25805	716
973	25831	689
974	25855	662
975	25883	636
976	25906	609
977	25931	583
978	25961	556
979	25988	530
980	26010	503
981	26038	477
982	26062	450
983	26089	424
984	26114	397
985	26139	371
986	26166	344
987	26192	318
988	26218	291
989	26244	265
990	26271	238
991	26296	212
992	26323	185
993	26346	159
994	26370	132
995	26397	106
996	26424	79
997	26448	53
998	26478	26
999	26505	0
